$0, $thruProtocl, $thruWebServer, $thruWDisk, $thruCGIAPP, $thruWebReply, $thruGetObjects, $thruProtReply, $thruDBProcess, $thruDBOpt
1, <<uninitialized>>, 0.0602504, 0.0526588, 0.00602504, 0.0602504, 0.0192801, 1.02185, 0.0165086, 0.0783255
2, <<uninitialized>>, 0.045054, 0.0401221, 0.00450435, 0.045962, 0.0144471, 0.778749, 0.0123701, 0.0588117
3, <<uninitialized>>, 0.046877, 0.0400601, 0.00468998, 0.045739, 0.0149756, 0.775876, 0.0128382, 0.0608765
4, <<uninitialized>>, 0.0483404, 0.0423966, 0.00483275, 0.048561, 0.0154628, 0.824445, 0.0132217, 0.0626217
5, <<uninitialized>>, 0.0485322, 0.0433603, 0.00485159, 0.0496791, 0.0155705, 0.841777, 0.0133289, 0.0633942
6, <<uninitialized>>, 0.0511363, 0.0434935, 0.00511715, 0.0496357, 0.0163191, 0.841428, 0.0140032, 0.0663925
7, <<uninitialized>>, 0.0519541, 0.0456086, 0.0051938, 0.052257, 0.0166271, 0.887712, 0.0142077, 0.0672732
8, <<uninitialized>>, 0.0513462, 0.0460074, 0.00513232, 0.0527184, 0.0164814, 0.893371, 0.014105, 0.0671079
9, <<uninitialized>>, 0.0537622, 0.0455794, 0.00538072, 0.0519992, 0.0171427, 0.881007, 0.014721, 0.0697896
10, <<uninitialized>>, 0.0541605, 0.0475771, 0.0054142, 0.0545253, 0.0173404, 0.926663, 0.0148097, 0.0701107
11, <<uninitialized>>, 0.0530934, 0.0476638, 0.00530648, 0.0546206, 0.0170475, 0.925677, 0.0145869, 0.0694155
12, <<uninitialized>>, 0.0554567, 0.0469116, 0.00555089, 0.0535069, 0.0176718, 0.906166, 0.015184, 0.0719801
13, <<uninitialized>>, 0.0556191, 0.0488822, 0.0055599, 0.0560307, 0.0178134, 0.952581, 0.0152077, 0.0719861
14, <<uninitialized>>, 0.0542719, 0.0487875, 0.0054239, 0.055911, 0.0174299, 0.947608, 0.014912, 0.0709736
15, <<uninitialized>>, 0.0566345, 0.0478308, 0.00566923, 0.0545464, 0.0180385, 0.923464, 0.0155058, 0.0735019
16, <<uninitialized>>, 0.0566517, 0.0498082, 0.00566305, 0.0570996, 0.018149, 0.97102, 0.0154896, 0.0733137
17, <<uninitialized>>, 0.0551193, 0.0495988, 0.00550831, 0.0568427, 0.017705, 0.963449, 0.0151457, 0.0720945
18, <<uninitialized>>, 0.0575002, 0.0485028, 0.00575624, 0.0553058, 0.0183073, 0.936074, 0.0157422, 0.0746199
19, <<uninitialized>>, 0.0574209, 0.0504991, 0.00573989, 0.0578977, 0.0183995, 0.984807, 0.0156996, 0.0743025
20, <<uninitialized>>, 0.0557577, 0.050212, 0.00557188, 0.057547, 0.0179124, 0.975425, 0.0153219, 0.0729394
